"year","firm_id","y_d","treatment_effect","e","year_fe","firms_fe","te_coeff","treat","time_til","treat_date","group","town"
1995,1,8.19026754080282,0,-0.602666709811761,0,-1.20706574938542,15,FALSE,-6,2001,1,1
1996,1,9.44366762049694,0,0.150733369882357,0.5,-1.20706574938542,15,FALSE,-5,2001,1,1
1997,1,9.02336163881676,0,-0.769572611797816,1,-1.20706574938542,15,FALSE,-4,2001,1,1
1998,1,10.6106196123614,0,0.317685361746807,1.5,-1.20706574938542,15,FALSE,-3,2001,1,1
1999,1,11.1444101379922,0,0.351475887377576,2,-1.20706574938542,15,FALSE,-2,2001,1,1
2000,1,10.3399928183059,0,-0.95294143230867,2.5,-1.20706574938542,15,FALSE,-1,2001,1,1
2001,1,27.2623949753927,15,0.469460724778119,3,-1.20706574938542,15,TRUE,0,2001,1,1
2002,1,42.1806881978667,30,-0.112246052747897,3.5,-1.20706574938542,15,TRUE,1,2001,1,1
2003,1,57.4560258629206,45,-0.336908387693974,4,-1.20706574938542,15,TRUE,2,2001,1,1
2004,1,73.5158279730174,60,0.222893722402833,4.5,-1.20706574938542,15,TRUE,3,2001,1,1
2005,1,89.4332428040639,75,0.640308553449303,5,-1.20706574938542,15,TRUE,4,2001,1,1
2006,1,105.07549931774,90,0.782565067125615,5.5,-1.20706574938542,15,TRUE,5,2001,1,1
2007,1,119.19266123252,105,-0.600273018094748,6,-1.20706574938542,15,TRUE,6,2001,1,1
2008,1,135.074086767428,120,-0.218847483186993,6.5,-1.20706574938542,15,TRUE,7,2001,1,1
2009,1,150.866124991527,135,0.0731907409122345,7,-1.20706574938542,15,TRUE,8,2001,1,1
2010,1,166.325943788391,150,0.0330095377769428,7.5,-1.20706574938542,15,TRUE,9,2001,1,1
2011,1,181.570416242966,165,-0.222518007648254,8,-1.20706574938542,15,TRUE,10,2001,1,1
2012,1,196.121878057394,180,-1.17105619322075,8.5,-1.20706574938542,15,TRUE,11,2001,1,1
2013,1,212.653743066861,195,-0.139191183753925,9,-1.20706574938542,15,TRUE,12,2001,1,1
2014,1,227.702032434442,210,-0.590901816172426,9.5,-1.20706574938542,15,TRUE,13,2001,1,1
2015,1,243.809496886897,225,0.0165626362820005,10,-1.20706574938542,15,TRUE,14,2001,1,1
2016,1,258.874075744694,240,-0.418858505920269,10.5,-1.20706574938542,15,TRUE,15,2001,1,1
2017,1,274.734128710491,255,-0.0588055401231445,11,-1.20706574938542,15,TRUE,16,2001,1,1
2018,1,289.92217296505,270,-0.370761285564598,11.5,-1.20706574938542,15,TRUE,17,2001,1,1
2019,1,305.588760766023,285,-0.204173484591583,12,-1.20706574938542,15,TRUE,18,2001,1,1
2020,1,321.104048870135,300,-0.188885380479359,12.5,-1.20706574938542,15,TRUE,19,2001,1,1
2021,1,337.457117606613,315,0.66418335599859,13,-1.20706574938542,15,TRUE,20,2001,1,1
2022,1,352.651152404036,330,0.358218153420988,13.5,-1.20706574938542,15,TRUE,21,2001,1,1
2023,1,367.676789656489,345,-0.116144594125481,14,-1.20706574938542,15,TRUE,22,2001,1,1
2024,1,382.679820800493,360,-0.613113450121334,14.5,-1.20706574938542,15,TRUE,23,2001,1,1
1995,2,10.8011982875765,0,0.523769045465814,0,0.27742924211066,15,FALSE,-6,2001,1,1
1996,2,10.0592256486987,0,-0.718203593411914,0.5,0.27742924211066,15,FALSE,-5,2001,1,1
1997,2,10.6861947779174,0,-0.591234464193297,1,0.27742924211066,15,FALSE,-4,2001,1,1
1998,2,11.3893268242041,0,-0.388102417906578,1.5,0.27742924211066,15,FALSE,-3,2001,1,1
1999,2,11.7912724873728,0,-0.486156754737875,2,0.27742924211066,15,FALSE,-2,2001,1,1
2000,2,12.3256004615151,0,-0.451828780595536,2.5,0.27742924211066,15,FALSE,-1,2001,1,1
2001,2,28.9210312151329,15,0.643601973022216,3,0.27742924211066,15,TRUE,0,2001,1,1
2002,2,43.724335441617,30,-0.0530938004936569,3.5,0.27742924211066,15,TRUE,1,2001,1,1
2003,2,58.9194937652821,45,-0.357935476828533,4,0.27742924211066,15,TRUE,2,2001,1,1
2004,2,75.1132903403495,60,0.335861098238832,4.5,0.27742924211066,15,TRUE,3,2001,1,1
2005,2,90.3762460550691,75,0.0988168129584402,5,0.27742924211066,15,TRUE,4,2001,1,1
2006,2,105.167380879444,90,-0.610048362666817,5.5,0.27742924211066,15,TRUE,5,2001,1,1
2007,2,120.996946681885,105,-0.280482560225482,6,0.27742924211066,15,TRUE,6,2001,1,1
2008,2,137.044295559317,120,0.266866317205857,6.5,0.27742924211066,15,TRUE,7,2001,1,1
2009,2,153.252586974453,135,0.975157732341942,7,0.27742924211066,15,TRUE,8,2001,1,1
2010,2,168.568400856911,150,0.790971614800256,7.5,0.27742924211066,15,TRUE,9,2001,1,1
2011,2,183.696323003229,165,0.418893761118054,8,0.27742924211066,15,TRUE,10,2001,1,1
2012,2,198.770894410768,180,-0.00653483134223797,8.5,0.27742924211066,15,TRUE,11,2001,1,1
2013,2,213.414531261105,195,-0.862897981005493,9,0.27742924211066,15,TRUE,12,2001,1,1
2014,2,229.41200245527,210,-0.365426786840988,9.5,0.27742924211066,15,TRUE,13,2001,1,1
2015,2,245.169722309437,225,-0.107706932673482,10,0.27742924211066,15,TRUE,14,2001,1,1
2016,2,261.022532576388,240,0.245103334276857,10.5,0.27742924211066,15,TRUE,15,2001,1,1
2017,2,276.307125953989,255,0.0296967118780766,11,0.27742924211066,15,TRUE,16,2001,1,1
2018,2,291.806585268573,270,0.0291560264622871,11.5,0.27742924211066,15,TRUE,17,2001,1,1
2019,2,308.196610795398,285,0.91918155328748,12,0.27742924211066,15,TRUE,18,2001,1,1
2020,2,322.971254691817,300,0.193825449706754,12.5,0.27742924211066,15,TRUE,19,2001,1,1
2021,2,338.137153879783,315,-0.140275362327329,13,0.27742924211066,15,TRUE,20,2001,1,1
2022,2,353.563170373129,330,-0.214258868981787,13.5,0.27742924211066,15,TRUE,21,2001,1,1
2023,2,369.325091709877,345,0.0476624677659691,14,0.27742924211066,15,TRUE,22,2001,1,1
2024,2,384.37076353764,360,-0.40666570447071,14.5,0.27742924211066,15,TRUE,23,2001,1,1
1995,3,11.7685362153958,0,0.684095038712737,0,1.08444117668306,15,FALSE,-6,2001,1,1
1996,3,11.4406731616379,0,-0.143768015045116,0.5,1.08444117668306,15,FALSE,-5,2001,1,1
1997,3,11.8201649649443,0,-0.264276211738759,1,1.08444117668306,15,FALSE,-4,2001,1,1
1998,3,12.1479347150546,0,-0.436506461628489,1.5,1.08444117668306,15,FALSE,-3,2001,1,1
1999,3,13.5523877128834,0,0.467946536200333,2,1.08444117668306,15,FALSE,-2,2001,1,1
2000,3,12.9458075151719,0,-0.638633661511106,2.5,1.08444117668306,15,FALSE,-1,2001,1,1
2001,3,28.8500712572134,15,-0.234369919469615,3,1.08444117668306,15,TRUE,0,2001,1,1
2002,3,44.7406993133529,30,0.156258136669836,3.5,1.08444117668306,15,TRUE,1,2001,1,1
2003,3,60.0302800258613,45,-0.054161150821756,4,1.08444117668306,15,TRUE,2,2001,1,1
2004,3,75.7098363853496,60,0.125395208666516,4.5,1.08444117668306,15,TRUE,3,2001,1,1
2005,3,90.4263444795799,75,-0.658096697103112,5,1.08444117668306,15,TRUE,4,2001,1,1
2006,3,106.369403452099,90,-0.215037724583693,5.5,1.08444117668306,15,TRUE,5,2001,1,1
2007,3,121.23238632789,105,-0.852054848793065,6,1.08444117668306,15,TRUE,6,2001,1,1
2008,3,137.163372494076,120,-0.421068682607229,6.5,1.08444117668306,15,TRUE,7,2001,1,1
2009,3,153.658566474337,135,0.574125297654365,7,1.08444117668306,15,TRUE,8,2001,1,1
2010,3,168.710856944638,150,0.126415767954608,7.5,1.08444117668306,15,TRUE,9,2001,1,1
2011,3,184.127084769745,165,0.0426435930622591,8,1.08444117668306,15,TRUE,10,2001,1,1
2012,3,199.117628111422,180,-0.466813065260604,8.5,1.08444117668306,15,TRUE,11,2001,1,1
2013,3,214.806031373603,195,-0.278409803079816,9,1.08444117668306,15,TRUE,12,2001,1,1
2014,3,230.076256016973,210,-0.508185159710385,9.5,1.08444117668306,15,TRUE,13,2001,1,1
2015,3,246.111203801594,225,0.0267626249105742,10,1.08444117668306,15,TRUE,14,2001,1,1
2016,3,261.967007979757,240,0.38256680307363,10.5,1.08444117668306,15,TRUE,15,2001,1,1
2017,3,277.234038584374,255,0.149597407690752,11,1.08444117668306,15,TRUE,16,2001,1,1
2018,3,292.275633302576,270,-0.3088078741066,11.5,1.08444117668306,15,TRUE,17,2001,1,1
2019,3,308.36083483347,285,0.276393656787162,12,1.08444117668306,15,TRUE,18,2001,1,1
2020,3,323.778395426118,300,0.19395424943449,12.5,1.08444117668306,15,TRUE,19,2001,1,1
2021,3,339.506046647808,315,0.421605471125181,13,1.08444117668306,15,TRUE,20,2001,1,1
2022,3,354.364127383515,330,-0.220313793168297,13.5,1.08444117668306,15,TRUE,21,2001,1,1
2023,3,369.494758490057,345,-0.589682686626362,14,1.08444117668306,15,TRUE,22,2001,1,1
2024,3,385.542156644004,360,-0.0422845326794095,14.5,1.08444117668306,15,TRUE,23,2001,1,1
1995,4,7.80569114489695,0,0.151388847526305,0,-2.34569770262935,15,FALSE,-6,2001,1,1
1996,4,8.93384916293282,0,0.779546865562175,0.5,-2.34569770262935,15,FALSE,-5,2001,1,1
1997,4,8.61947103371803,0,-0.0348312636526218,1,-2.34569770262935,15,FALSE,-4,2001,1,1
1998,4,9.36782200460455,0,0.213519707233901,1.5,-2.34569770262935,15,FALSE,-3,2001,1,1
1999,4,9.61267069823256,0,-0.0416315991380901,2,-2.34569770262935,15,FALSE,-2,2001,1,1
2000,4,11.2325011677516,0,1.07819887038091,2.5,-2.34569770262935,15,FALSE,-1,2001,1,1
2001,4,26.3232863270618,15,0.66898402969118,3,-2.34569770262935,15,TRUE,0,2001,1,1
2002,4,41.038150073673,30,-0.116152223697622,3.5,-2.34569770262935,15,TRUE,1,2001,1,1
2003,4,56.590600252397,45,-0.0637020449736959,4,-2.34569770262935,15,TRUE,2,2001,1,1
2004,4,72.1434595952348,60,-0.0108427021358761,4.5,-2.34569770262935,15,TRUE,3,2001,1,1
2005,4,87.7109293395629,75,0.0566270421922928,5,-2.34569770262935,15,TRUE,4,2001,1,1
2006,4,102.871754592124,90,-0.282547705246237,5.5,-2.34569770262935,15,TRUE,5,2001,1,1
2007,4,118.694652490993,105,0.0403501936222474,6,-2.34569770262935,15,TRUE,6,2001,1,1
2008,4,133.806416594076,120,-0.347885703294471,6.5,-2.34569770262935,15,TRUE,7,2001,1,1
2009,4,149.106201230895,135,-0.548101066475992,7,-2.34569770262935,15,TRUE,8,2001,1,1
2010,4,165.556522576248,150,0.402220278877261,7.5,-2.34569770262935,15,TRUE,9,2001,1,1
2011,4,180.982624357338,165,0.328322059967354,8,-2.34569770262935,15,TRUE,10,2001,1,1
2012,4,195.870286958698,180,-0.284015338672269,8.5,-2.34569770262935,15,TRUE,11,2001,1,1
2013,4,212.290695218115,195,0.636392920744069,9,-2.34569770262935,15,TRUE,12,2001,1,1
2014,4,227.058030339492,210,-0.0962719578784853,9.5,-2.34569770262935,15,TRUE,13,2001,1,1
2015,4,242.512469688076,225,-0.141832609294409,10,-2.34569770262935,15,TRUE,14,2001,1,1
2016,4,257.677466440901,240,-0.476835856469626,10.5,-2.34569770262935,15,TRUE,15,2001,1,1
2017,4,273.642126974354,255,-0.0121753230170817,11,-2.34569770262935,15,TRUE,16,2001,1,1
2018,4,289.085809314942,270,-0.0684929824287609,11.5,-2.34569770262935,15,TRUE,17,2001,1,1
2019,4,304.688061492931,285,0.0337591955605441,12,-2.34569770262935,15,TRUE,18,2001,1,1
2020,4,320.376886477287,300,0.222584179915988,12.5,-2.34569770262935,15,TRUE,19,2001,1,1
2021,4,336.107602491494,315,0.453300194123004,13,-2.34569770262935,15,TRUE,20,2001,1,1
